generation,strength,agility,expertise,resistance,life,height,characterType,performance,performance_relative,performance_accumulated
1,16,41,38,48,7,1.3,CharacterType.ARCHER,200.5376276080852,0.003700992491470849,0.8214530328154722
1,8,3,84,10,45,1.8,CharacterType.ARCHER,196.8700780951072,0.003633306574510885,0.8250863393899831
1,21,17,26,66,20,1.8,CharacterType.ARCHER,194.4376555108692,0.0035884153596913776,0.8286747547496744
1,23,90,14,14,9,1.5,CharacterType.ARCHER,188.24656573362907,0.0034741566190605797,0.832148911368735
1,32,17,15,59,27,1.5,CharacterType.ARCHER,179.5824660177265,0.003314257609700716,0.8354631689784358
1,36,90,4,13,7,2.0,CharacterType.ARCHER,178.50295473083318,0.0032943348489953873,0.8387575038274312
1,16,99,22,8,5,2.0,CharacterType.ARCHER,176.86713487150956,0.0032641452178076313,0.8420216490452388
1,19,8,26,10,87,1.6,CharacterType.ARCHER,171.6392708716024,0.003167663147879588,0.8451893121931184
1,42,19,11,3,75,1.3,CharacterType.ARCHER,169.9052889181859,0.0031356619006997714,0.8483249740938182
1,14,29,31,23,53,1.9,CharacterType.ARCHER,169.6812225640035,0.003131526677279052,0.8514565007710972
1,80,24,4,37,5,1.5,CharacterType.ARCHER,168.99695882909086,0.003118898349242547,0.8545753991203398
1,37,77,4,25,7,1.4,CharacterType.ARCHER,167.9129957351508,0.0030988934288714736,0.8576742925492112
1,30,22,14,31,53,1.6,CharacterType.ARCHER,167.28906148726745,0.003087378502749476,0.8607616710519607
1,20,31,23,50,26,1.3,CharacterType.ARCHER,166.20548383834964,0.0030673806959019357,0.8638290517478626
1,80,11,6,35,18,1.6,CharacterType.ARCHER,165.12843362099784,0.003047503355101105,0.8668765551029637
1,20,4,24,24,78,1.5,CharacterType.ARCHER,164.67866769888317,0.003039202766725147,0.8699157578696889
1,44,39,6,1,60,1.5,CharacterType.ARCHER,163.6742382689852,0.0030206656681137593,0.8729364235378027
1,15,74,23,15,23,1.7,CharacterType.ARCHER,159.7666504556142,0.002948549759844852,0.8758849732976475
1,7,23,67,1,52,1.8,CharacterType.ARCHER,158.03147621315202,0.002916526508551102,0.8788014998061986
1,19,8,25,48,50,1.3,CharacterType.ARCHER,155.4629724973719,0.002869123868558796,0.8816706236747573
1,12,97,28,12,1,1.8,CharacterType.ARCHER,154.93550246931736,0.002859389223561793,0.8845300128983191
1,65,7,7,55,16,1.8,CharacterType.ARCHER,153.29222970483934,0.0028290620463865585,0.8873590749447057
1,35,16,11,3,85,2.0,CharacterType.ARCHER,152.97040685625635,0.00282312269245884,0.8901821976371646
1,7,5,76,53,9,2.0,CharacterType.ARCHER,150.93275315254522,0.00278551707625802,0.8929677147134226
1,11,97,32,6,4,1.6,CharacterType.ARCHER,150.8982063257405,0.002784879502411488,0.8957525942158341
1,87,3,6,7,47,1.4,CharacterType.ARCHER,147.84395368534766,0.0027285121950688476,0.898481106410903
1,83,21,3,24,19,1.9,CharacterType.ARCHER,147.53454401358,0.002722801930687748,0.9012039083415907
1,33,43,7,9,58,2.0,CharacterType.ARCHER,144.4992588130101,0.002666784674122134,0.9038706930157129
1,46,19,8,2,75,1.3,CharacterType.ARCHER,144.33740862526534,0.0026637976719483714,0.9065344906876612
1,30,34,10,72,4,1.6,CharacterType.ARCHER,142.23005676687262,0.0026249057517744633,0.9091593964394357
1,10,19,38,8,75,2.0,CharacterType.ARCHER,141.5611254676405,0.0026125603892342905,0.91177195682867
1,33,47,6,33,31,1.8,CharacterType.ARCHER,139.97092034445188,0.0025832125940548176,0.9143551694227248
